vote_2016,vote_2020,sex,race,household_income,education,state,age,vote_trump,vote_biden,not_sure,someone_else
Hillary Clinton,Joe Biden,male,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",CA,40,0,1,0,0
Hillary Clinton,Joe Biden,female,other asian or pacific islander,NA,"College Degree (such as B.A., B.S.)",CA,27,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",NM,35,0,1,0,0
Hillary Clinton,Joe Biden,female,"other race, nec","$25,000 to $29,999",Associate Degree,PA,34,0,1,0,0
Donald Trump,Donald Trump,male,white,"Less than $14,999","Completed some college, but no degree",TX,38,1,0,0,0
Donald Trump,Donald Trump,female,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",TN,68,1,0,0,0
Hillary Clinton,Joe Biden,female,other asian or pacific islander,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",IL,68,0,1,0,0
"Did not vote, but was eligible",I am not sure/don't know,male,white,NA,High school graduate,NY,46,0,0,1,0
Don't recall,Donald Trump,female,"other race, nec","$35,000 to $39,999",Completed some high school,NM,43,1,0,0,0
Donald Trump,Donald Trump,female,other asian or pacific islander,"$15,000 to $19,999",Completed some high school,OR,30,1,0,0,0
Donald Trump,Joe Biden,female,white,"$25,000 to $29,999",High school graduate,FL,43,0,1,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"Less than $14,999","Completed some college, but no degree",NY,31,0,1,0,0
Donald Trump,Donald Trump,male,white,"$85,000 to $89,999",Associate Degree,CA,64,1,0,0,0
Hillary Clinton,Someone else,female,"other race, nec","$15,000 to $19,999",Associate Degree,CA,27,0,0,0,1
Donald Trump,Donald Trump,female,white,"$100,000 to $124,999",Associate Degree,OH,64,1,0,0,0
"Did not vote, but was eligible",Joe Biden,female,black/african american/negro,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",CO,38,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$75,000 to $79,999",Associate Degree,KS,41,0,1,0,0
"Did not vote, but was eligible",I am not sure/don't know,female,white,"$100,000 to $124,999",High school graduate,GA,48,0,0,1,0
