vote_2016,vote_2020,sex,race,household_income,education,state,age,vote_trump,vote_biden,not_sure,someone_else
Donald Trump,Donald Trump,female,white,"$75,000 to $79,999",Associate Degree,WI,49,1,0,0,0
"Did not vote, but was eligible",I am not sure/don't know,female,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",VA,39,0,0,1,0
Donald Trump,Donald Trump,female,white,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",VA,46,1,0,0,0
Donald Trump,Donald Trump,female,white,"$65,000 to $69,999",High school graduate,TX,75,1,0,0,0
Donald Trump,Donald Trump,female,white,"Less than $14,999",High school graduate,WA,52,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$80,000 to $84,999","Completed some college, but no degree",MA,21,0,1,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"Less than $14,999","Completed some college, but no degree",TX,38,0,1,0,0
Donald Trump,Donald Trump,female,white,"$40,000 to $44,999","Completed some college, but no degree",CA,69,1,0,0,0
Donald Trump,Donald Trump,female,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NC,59,1,0,0,0
Donald Trump,I am not sure/don't know,female,white,"$100,000 to $124,999",Masters degree,OH,51,0,0,1,0
Donald Trump,Donald Trump,female,white,"$20,000 to $24,999","Completed some graduate, but no degree",MD,74,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$60,000 to $64,999","Completed some college, but no degree",FL,55,0,1,0,0
Donald Trump,Donald Trump,female,white,"$15,000 to $19,999",Other post high school vocational training,WV,62,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$30,000 to $34,999",High school graduate,OH,42,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",NY,81,0,1,0,0
Jill Stein,Joe Biden,female,white,"$40,000 to $44,999","Completed some college, but no degree",KY,22,0,1,0,0
Donald Trump,Donald Trump,female,white,NA,"College Degree (such as B.A., B.S.)",FL,73,1,0,0,0
Donald Trump,Donald Trump,male,white,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",IN,71,1,0,0,0
Hillary Clinton,Joe Biden,female,white,NA,High school graduate,MI,63,0,1,0,0
Jill Stein,Joe Biden,male,white,"Less than $14,999","College Degree (such as B.A., B.S.)",WA,41,0,1,0,0
Donald Trump,Donald Trump,female,white,"$40,000 to $44,999","Completed some graduate, but no degree",IA,71,1,0,0,0
"Did not vote, but was eligible",Joe Biden,female,white,NA,"Completed some college, but no degree",CA,60,0,1,0,0
Donald Trump,Donald Trump,female,white,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",SC,55,1,0,0,0
Gary Johnson,Joe Biden,male,white,"$85,000 to $89,999",Associate Degree,MN,68,0,1,0,0
Donald Trump,Donald Trump,female,white,"$90,000 to $94,999","Completed some college, but no degree",GA,69,1,0,0,0
Donald Trump,Donald Trump,female,white,"$75,000 to $79,999",Masters degree,PA,33,1,0,0,0
Donald Trump,Joe Biden,female,white,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",NJ,70,0,1,0,0
Gary Johnson,Donald Trump,female,white,"$30,000 to $34,999",Associate Degree,VA,32,1,0,0,0
Donald Trump,Donald Trump,female,white,"$100,000 to $124,999","Completed some college, but no degree",SC,77,1,0,0,0
Donald Trump,Donald Trump,female,white,"$100,000 to $124,999",Associate Degree,TX,65,1,0,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"Less than $14,999","Completed some college, but no degree",FL,22,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$65,000 to $69,999",Masters degree,AZ,63,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$45,000 to $49,999",Masters degree,IL,79,0,1,0,0
Donald Trump,Donald Trump,male,white,"$75,000 to $79,999","Completed some college, but no degree",OH,70,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$80,000 to $84,999",Masters degree,OH,54,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$40,000 to $44,999","Completed some college, but no degree",CA,72,0,1,0,0
Donald Trump,Donald Trump,female,white,"$20,000 to $24,999",Completed some high school,FL,40,1,0,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",NC,69,0,1,0,0
Someone else:,Joe Biden,male,white,"$200,000 to $249,999","College Degree (such as B.A., B.S.)",TX,37,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$150,000 to $174,999",Doctorate degree,FL,36,0,1,0,0
Hillary Clinton,I am not sure/don't know,female,white,"$65,000 to $69,999",Other post high school vocational training,NY,54,0,0,1,0
Hillary Clinton,Joe Biden,female,white,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",TX,40,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",NJ,41,0,1,0,0
"Did not vote, but was eligible",I am not sure/don't know,female,white,"Less than $14,999",Completed some high school,AR,57,0,0,1,0
"Did not vote, but was eligible",I am not sure/don't know,female,white,"Less than $14,999",Completed some high school,OK,64,0,0,1,0
"Did not vote, but was eligible",Someone else,female,white,"$75,000 to $79,999",Completed some high school,NV,39,0,0,0,1
Was not eligible to vote,Joe Biden,female,white,NA,"Completed some college, but no degree",FL,19,0,1,0,0
Was not eligible to vote,I am not sure/don't know,female,white,"$45,000 to $49,999","Completed some college, but no degree",FL,50,0,0,1,0
Jill Stein,Someone else,female,other asian or pacific islander,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",TX,26,0,0,0,1
"Did not vote, but was eligible",Joe Biden,female,white,"$15,000 to $19,999",Completed some high school,CA,30,0,1,0,0
Gary Johnson,Someone else,female,white,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",NY,51,0,0,0,1
Donald Trump,Donald Trump,female,white,"Less than $14,999","Completed some college, but no degree",OR,72,1,0,0,0
"Did not vote, but was eligible",Donald Trump,female,white,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",PA,55,1,0,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",PA,80,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$80,000 to $84,999","Completed some college, but no degree",NC,66,0,1,0,0
Donald Trump,Donald Trump,female,white,"$35,000 to $39,999",Other post high school vocational training,TX,40,1,0,0,0
Donald Trump,I am not sure/don't know,female,white,"$40,000 to $44,999",Completed some high school,CA,23,0,0,1,0
Donald Trump,Donald Trump,male,other asian or pacific islander,"$75,000 to $79,999",Masters degree,VA,31,1,0,0,0
Donald Trump,Donald Trump,male,white,"$95,000 to $99,999",Masters degree,OH,69,1,0,0,0
Donald Trump,Joe Biden,female,chinese,"$125,000 to $149,999","Completed some graduate, but no degree",CA,31,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$85,000 to $89,999",Masters degree,IL,51,0,1,0,0
Donald Trump,Donald Trump,female,white,"$100,000 to $124,999","Completed some graduate, but no degree",NC,78,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$50,000 to $54,999",Other post high school vocational training,MI,58,0,1,0,0
Donald Trump,Someone else,female,white,"$45,000 to $49,999",High school graduate,PA,70,0,0,0,1
Gary Johnson,Joe Biden,female,white,"$150,000 to $174,999",Masters degree,CA,19,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$65,000 to $69,999","Completed some college, but no degree",MI,41,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$30,000 to $34,999",Completed some high school,CT,39,0,1,0,0
Donald Trump,Donald Trump,female,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",NC,63,1,0,0,0
Donald Trump,Donald Trump,female,white,NA,"Completed some college, but no degree",DE,69,1,0,0,0
Jill Stein,I am not sure/don't know,female,white,"$30,000 to $34,999",Associate Degree,WI,68,0,0,1,0
Donald Trump,I am not sure/don't know,male,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",FL,41,0,0,1,0
Hillary Clinton,Donald Trump,female,white,"$45,000 to $49,999",Associate Degree,CT,73,1,0,0,0
Donald Trump,Donald Trump,female,white,"$40,000 to $44,999",Masters degree,NC,38,1,0,0,0
Donald Trump,Donald Trump,female,white,"$30,000 to $34,999",Associate Degree,OR,69,1,0,0,0
Donald Trump,Donald Trump,female,white,"$100,000 to $124,999",Masters degree,IL,61,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"Less than $14,999",Other post high school vocational training,NJ,19,0,1,0,0
Gary Johnson,I am not sure/don't know,female,white,"$45,000 to $49,999","Completed some college, but no degree",TX,72,0,0,1,0
Hillary Clinton,Donald Trump,female,white,"$30,000 to $34,999",Masters degree,CA,54,1,0,0,0
Donald Trump,Donald Trump,female,white,NA,Associate Degree,NC,72,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$150,000 to $174,999",Masters degree,FL,70,0,1,0,0
Someone else:,Joe Biden,female,white,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",IA,53,0,1,0,0
Donald Trump,Donald Trump,female,white,"$100,000 to $124,999",Masters degree,GA,52,1,0,0,0
Gary Johnson,Someone else,male,white,"$95,000 to $99,999",Masters degree,IL,40,0,0,0,1
Hillary Clinton,Joe Biden,female,white,"$75,000 to $79,999",Masters degree,NY,63,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$25,000 to $29,999",Associate Degree,WA,63,0,1,0,0
Gary Johnson,Joe Biden,female,white,"$60,000 to $64,999","Completed some college, but no degree",MI,38,0,1,0,0
Gary Johnson,I am not sure/don't know,female,white,"$60,000 to $64,999",High school graduate,SC,75,0,0,1,0
Hillary Clinton,Joe Biden,female,white,"$55,000 to $59,999",Other post high school vocational training,OH,45,0,1,0,0
Donald Trump,Donald Trump,female,white,"$45,000 to $49,999",High school graduate,IL,30,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$90,000 to $94,999",High school graduate,MA,66,0,1,0,0
Hillary Clinton,Joe Biden,female,chinese,"$80,000 to $84,999",Masters degree,MO,40,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$60,000 to $64,999",Masters degree,CO,49,0,1,0,0
"Did not vote, but was eligible",Donald Trump,female,white,"$45,000 to $49,999","Completed some college, but no degree",IL,57,1,0,0,0
Hillary Clinton,Someone else,female,white,"$25,000 to $29,999",Other post high school vocational training,NC,59,0,0,0,1
Donald Trump,Donald Trump,female,white,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",NC,60,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$70,000 to $74,999",Masters degree,NY,68,0,1,0,0
Donald Trump,Donald Trump,female,white,"$60,000 to $64,999",High school graduate,IN,58,1,0,0,0
"Did not vote, but was eligible",Joe Biden,female,chinese,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",CA,33,0,1,0,0
Was not eligible to vote,Donald Trump,female,white,"$250,000 and above","Completed some college, but no degree",FL,26,1,0,0,0
"Did not vote, but was eligible",I am not sure/don't know,female,white,"$40,000 to $44,999",High school graduate,FL,22,0,0,1,0
Donald Trump,Donald Trump,female,white,"$65,000 to $69,999","Completed some college, but no degree",PA,76,1,0,0,0
Donald Trump,Donald Trump,female,white,"$25,000 to $29,999",Other post high school vocational training,SC,38,1,0,0,0
Donald Trump,Donald Trump,female,white,"$100,000 to $124,999",Masters degree,IL,53,1,0,0,0
Was not eligible to vote,I am not sure/don't know,female,black/african american/negro,NA,"Completed some college, but no degree",PA,19,0,0,1,0
Hillary Clinton,Joe Biden,female,white,"$15,000 to $19,999","Completed some college, but no degree",OH,64,0,1,0,0
"Did not vote, but was eligible",Donald Trump,male,white,"$90,000 to $94,999",Masters degree,NY,49,1,0,0,0
Donald Trump,Donald Trump,male,white,"$65,000 to $69,999","Completed some college, but no degree",IA,66,1,0,0,0
Donald Trump,Donald Trump,female,white,"$125,000 to $149,999",Masters degree,WI,56,1,0,0,0
Donald Trump,Joe Biden,female,white,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",CT,26,0,1,0,0
Donald Trump,Donald Trump,female,white,"$30,000 to $34,999",High school graduate,PA,58,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$100,000 to $124,999","Completed some graduate, but no degree",NJ,72,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$60,000 to $64,999",Masters degree,DC,36,0,1,0,0
Donald Trump,Joe Biden,male,white,"$100,000 to $124,999",Masters degree,PA,70,0,1,0,0
"Did not vote, but was eligible",Donald Trump,male,white,"$45,000 to $49,999",Associate Degree,GA,25,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$150,000 to $174,999",Masters degree,NY,40,0,1,0,0
Donald Trump,Donald Trump,male,white,"$150,000 to $174,999",Masters degree,FL,42,1,0,0,0
Hillary Clinton,Joe Biden,male,black/african american/negro,"Less than $14,999",Completed some high school,FL,26,0,1,0,0
Hillary Clinton,Joe Biden,male,chinese,"Less than $14,999","Completed some college, but no degree",NY,45,0,1,0,0
Donald Trump,Donald Trump,female,white,"$30,000 to $34,999",Associate Degree,GA,57,1,0,0,0
Donald Trump,Donald Trump,female,white,"$90,000 to $94,999","Completed some college, but no degree",IL,55,1,0,0,0
Someone else:,Joe Biden,male,white,"$55,000 to $59,999","Completed some college, but no degree",NM,70,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",TN,55,0,1,0,0
Hillary Clinton,Joe Biden,female,chinese,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",CA,46,0,1,0,0
Donald Trump,Donald Trump,female,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",NC,32,1,0,0,0
Donald Trump,Donald Trump,female,white,"$40,000 to $44,999","Completed some college, but no degree",VA,66,1,0,0,0
Don't recall,Donald Trump,male,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",MN,35,1,0,0,0
Gary Johnson,Donald Trump,male,white,"$25,000 to $29,999",Associate Degree,WI,71,1,0,0,0
Donald Trump,I am not sure/don't know,male,white,"Less than $14,999","Completed some college, but no degree",AZ,34,0,0,1,0
Donald Trump,Joe Biden,female,white,"$100,000 to $124,999",Masters degree,PA,37,0,1,0,0
Was not eligible to vote,Joe Biden,female,white,"$30,000 to $34,999","Completed some college, but no degree",OK,27,0,1,0,0
Donald Trump,Donald Trump,female,white,"$100,000 to $124,999",Masters degree,IL,61,1,0,0,0
Donald Trump,Donald Trump,male,white,"$100,000 to $124,999",Masters degree,FL,47,1,0,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$100,000 to $124,999",Doctorate degree,DC,69,0,1,0,0
"Did not vote, but was eligible",Donald Trump,female,white,"$55,000 to $59,999",Doctorate degree,TX,45,1,0,0,0
Gary Johnson,Donald Trump,female,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",IN,26,1,0,0,0
Donald Trump,Donald Trump,male,white,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",OH,53,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$50,000 to $54,999",Associate Degree,AZ,65,0,1,0,0
Donald Trump,Donald Trump,female,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",NJ,50,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$40,000 to $44,999","Completed some college, but no degree",CO,67,0,1,0,0
Donald Trump,I am not sure/don't know,female,white,"$25,000 to $29,999",Associate Degree,MA,68,0,0,1,0
Hillary Clinton,Joe Biden,male,other asian or pacific islander,"$40,000 to $44,999",Masters degree,PA,55,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$40,000 to $44,999","Completed some college, but no degree",OH,48,0,1,0,0
Hillary Clinton,Joe Biden,male,japanese,"$25,000 to $29,999",Associate Degree,HI,68,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$95,000 to $99,999",Masters degree,CT,57,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$150,000 to $174,999",Masters degree,FL,32,0,1,0,0
Hillary Clinton,Joe Biden,female,chinese,NA,"College Degree (such as B.A., B.S.)",IL,60,0,1,0,0
"Did not vote, but was eligible",Joe Biden,male,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",WI,65,0,1,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$60,000 to $64,999",Associate Degree,NJ,67,0,1,0,0
Donald Trump,Donald Trump,female,white,"Less than $14,999",Other post high school vocational training,TX,52,1,0,0,0
Donald Trump,Donald Trump,male,white,"$80,000 to $84,999",Associate Degree,TX,73,1,0,0,0
Donald Trump,Someone else,female,white,"$55,000 to $59,999",Masters degree,IN,79,0,0,0,1
Donald Trump,Donald Trump,male,white,"$100,000 to $124,999",Masters degree,MT,81,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$15,000 to $19,999","Completed some college, but no degree",PA,66,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",CA,38,0,1,0,0
Don't recall,I am not sure/don't know,male,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",CA,69,0,0,1,0
Donald Trump,Donald Trump,female,white,NA,"Completed some college, but no degree",TX,62,1,0,0,0
Donald Trump,Donald Trump,male,chinese,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",CA,81,1,0,0,0
Donald Trump,Donald Trump,female,white,"$45,000 to $49,999","Completed some college, but no degree",TN,65,1,0,0,0
Gary Johnson,Joe Biden,female,white,"$30,000 to $34,999","Completed some college, but no degree",NC,62,0,1,0,0
Donald Trump,Donald Trump,female,white,"$15,000 to $19,999",High school graduate,PA,21,1,0,0,0
Hillary Clinton,Joe Biden,female,"other race, nec","$75,000 to $79,999",Associate Degree,CT,44,0,1,0,0
"Did not vote, but was eligible",Donald Trump,female,black/african american/negro,"$100,000 to $124,999",Doctorate degree,TN,33,1,0,0,0
Was not eligible to vote,Joe Biden,female,white,"$15,000 to $19,999",High school graduate,TX,63,0,1,0,0
Donald Trump,Donald Trump,female,white,NA,"Completed some college, but no degree",NJ,52,1,0,0,0
Donald Trump,I am not sure/don't know,male,white,"$45,000 to $49,999",High school graduate,PA,27,0,0,1,0
"Did not vote, but was eligible",I am not sure/don't know,female,white,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",NJ,66,0,0,1,0
Donald Trump,Donald Trump,female,white,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",TN,58,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$100,000 to $124,999","Completed some college, but no degree",IL,60,0,1,0,0
Was not eligible to vote,Donald Trump,female,other asian or pacific islander,"$70,000 to $74,999",Masters degree,OR,29,1,0,0,0
"Did not vote, but was eligible",Joe Biden,male,"other race, nec","$55,000 to $59,999","Completed some college, but no degree",CA,28,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"Less than $14,999",High school graduate,CT,40,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$55,000 to $59,999","Completed some college, but no degree",WI,61,0,1,0,0
Hillary Clinton,Donald Trump,female,white,NA,"College Degree (such as B.A., B.S.)",MA,76,1,0,0,0
"Did not vote, but was eligible",Joe Biden,female,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",FL,37,0,1,0,0
"Did not vote, but was eligible",Joe Biden,male,black/african american/negro,"$250,000 and above",High school graduate,NV,20,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$15,000 to $19,999","Completed some college, but no degree",VT,67,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",NY,28,0,1,0,0
Donald Trump,I am not sure/don't know,female,white,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",NJ,53,0,0,1,0
"Did not vote, but was eligible",Donald Trump,male,white,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",PA,30,1,0,0,0
Donald Trump,Donald Trump,female,white,"$15,000 to $19,999",High school graduate,KY,28,1,0,0,0
Donald Trump,Donald Trump,female,white,"$25,000 to $29,999","Completed some college, but no degree",MD,62,1,0,0,0
Donald Trump,I am not sure/don't know,female,white,"$45,000 to $49,999",Associate Degree,IL,61,0,0,1,0
"Did not vote, but was eligible",Joe Biden,male,black/african american/negro,"Less than $14,999",Other post high school vocational training,IL,33,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$40,000 to $44,999",Masters degree,MO,68,0,1,0,0
Donald Trump,Donald Trump,female,white,"$175,000 to $199,999",Masters degree,FL,52,1,0,0,0
Donald Trump,Donald Trump,female,white,"Less than $14,999","College Degree (such as B.A., B.S.)",CA,39,1,0,0,0
Donald Trump,Joe Biden,female,white,"$95,000 to $99,999","Completed some college, but no degree",MT,73,0,1,0,0
Hillary Clinton,Joe Biden,female,black/african american/negro,"$15,000 to $19,999",Completed some high school,WI,38,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$125,000 to $149,999",High school graduate,SC,50,0,1,0,0
Donald Trump,Donald Trump,female,white,"$50,000 to $54,999","Completed some graduate, but no degree",IL,61,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$150,000 to $174,999","Completed some college, but no degree",MO,63,0,1,0,0
Donald Trump,Donald Trump,female,white,"$70,000 to $74,999","Completed some college, but no degree",TX,67,1,0,0,0
"Did not vote, but was eligible",Someone else,male,black/african american/negro,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",MO,35,0,0,0,1
"Did not vote, but was eligible",Donald Trump,female,white,NA,"College Degree (such as B.A., B.S.)",OH,60,1,0,0,0
"Did not vote, but was eligible",Joe Biden,male,black/african american/negro,"$20,000 to $24,999","Completed some college, but no degree",TN,52,0,1,0,0
"Did not vote, but was eligible",Joe Biden,female,white,"$55,000 to $59,999",Associate Degree,UT,25,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$45,000 to $49,999",Associate Degree,MN,44,0,1,0,0
Was not eligible to vote,Joe Biden,female,white,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",NJ,69,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",SC,74,0,1,0,0
Donald Trump,Donald Trump,female,white,"$50,000 to $54,999",Associate Degree,GA,65,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$35,000 to $39,999",Masters degree,CA,39,0,1,0,0
Donald Trump,Donald Trump,female,white,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",VA,50,1,0,0,0
Donald Trump,Donald Trump,female,white,"$70,000 to $74,999",High school graduate,WV,68,1,0,0,0
Was not eligible to vote,Joe Biden,male,white,"$35,000 to $39,999","Completed some college, but no degree",FL,18,0,1,0,0
Donald Trump,Donald Trump,female,white,NA,"College Degree (such as B.A., B.S.)",MI,55,1,0,0,0
Donald Trump,Donald Trump,female,white,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",NE,56,1,0,0,0
Donald Trump,Donald Trump,female,white,"$15,000 to $19,999",Other post high school vocational training,MI,51,1,0,0,0
Donald Trump,Donald Trump,female,other asian or pacific islander,"$50,000 to $54,999",Completed some high school,UT,24,1,0,0,0
Donald Trump,Donald Trump,female,white,"$125,000 to $149,999","Completed some graduate, but no degree",FL,68,1,0,0,0
Donald Trump,Donald Trump,female,white,NA,High school graduate,NC,27,1,0,0,0
Hillary Clinton,Joe Biden,female,white,"$70,000 to $74,999",Associate Degree,AZ,62,0,1,0,0
Hillary Clinton,Donald Trump,female,white,"$25,000 to $29,999",High school graduate,TN,73,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",MA,55,0,1,0,0
Donald Trump,Donald Trump,female,white,"$100,000 to $124,999","Completed some college, but no degree",IL,58,1,0,0,0
Gary Johnson,Someone else,male,white,"$55,000 to $59,999",Masters degree,IN,34,0,0,0,1
Hillary Clinton,Joe Biden,female,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",CA,66,0,1,0,0
Hillary Clinton,I am not sure/don't know,male,white,"$75,000 to $79,999","Completed some college, but no degree",TX,30,0,0,1,0
Donald Trump,I am not sure/don't know,female,black/african american/negro,"$75,000 to $79,999",Doctorate degree,TX,31,0,0,1,0
Hillary Clinton,Joe Biden,female,white,"$30,000 to $34,999",High school graduate,NY,74,0,1,0,0
Donald Trump,Donald Trump,male,white,"$15,000 to $19,999",High school graduate,CO,33,1,0,0,0
Hillary Clinton,Joe Biden,female,japanese,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",HI,37,0,1,0,0
Donald Trump,I am not sure/don't know,male,white,"$60,000 to $64,999",Completed some high school,CA,55,0,0,1,0
Hillary Clinton,Joe Biden,female,white,"$175,000 to $199,999",Masters degree,CA,63,0,1,0,0
Donald Trump,Donald Trump,male,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",CA,41,1,0,0,0
Donald Trump,Donald Trump,female,white,"$35,000 to $39,999","Completed some college, but no degree",NY,54,1,0,0,0
Hillary Clinton,Joe Biden,male,black/african american/negro,"$45,000 to $49,999","Completed some college, but no degree",DC,41,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$70,000 to $74,999",Masters degree,FL,73,0,1,0,0
Donald Trump,Donald Trump,male,white,"$175,000 to $199,999",Masters degree,TX,44,1,0,0,0
"Did not vote, but was eligible",Joe Biden,female,white,"Less than $14,999",High school graduate,IN,28,0,1,0,0
Donald Trump,Donald Trump,male,white,"$200,000 to $249,999",Masters degree,NY,44,1,0,0,0
Donald Trump,Donald Trump,male,white,"$20,000 to $24,999",Associate Degree,GA,40,1,0,0,0
"Did not vote, but was eligible",Joe Biden,male,black/african american/negro,"$70,000 to $74,999",High school graduate,NY,23,0,1,0,0
Hillary Clinton,Joe Biden,female,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",OH,32,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$200,000 to $249,999",Doctorate degree,CO,39,0,1,0,0
"Did not vote, but was eligible",Donald Trump,female,white,"Less than $14,999",Completed some high school,IL,28,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",NJ,32,0,1,0,0
Hillary Clinton,Joe Biden,male,white,"$40,000 to $44,999",High school graduate,IL,57,0,1,0,0
Gary Johnson,Donald Trump,male,black/african american/negro,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",MN,32,1,0,0,0
Donald Trump,I am not sure/don't know,male,white,"$125,000 to $149,999",Masters degree,GA,41,0,0,1,0
Donald Trump,Donald Trump,female,white,"$20,000 to $24,999",High school graduate,MO,54,1,0,0,0
Donald Trump,Donald Trump,male,other asian or pacific islander,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",WA,19,1,0,0,0
Hillary Clinton,Joe Biden,female,"other race, nec","$80,000 to $84,999",Masters degree,CA,42,0,1,0,0
Was not eligible to vote,Joe Biden,female,black/african american/negro,NA,Completed some high school,TX,18,0,1,0,0
Was not eligible to vote,Joe Biden,female,white,"$100,000 to $124,999","Completed some college, but no degree",CA,18,0,1,0,0
Donald Trump,Donald Trump,male,white,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",PA,56,1,0,0,0
Donald Trump,Donald Trump,male,white,"$200,000 to $249,999",Doctorate degree,CA,42,1,0,0,0
Hillary Clinton,Joe Biden,male,white,"$35,000 to $39,999",Masters degree,AZ,70,0,1,0,0
"Did not vote, but was eligible",Donald Trump,male,white,"Less than $14,999",High school graduate,OH,19,1,0,0,0
Hillary Clinton,Joe Biden,female,white,NA,"College Degree (such as B.A., B.S.)",CA,48,0,1,0,0
Hillary Clinton,Joe Biden,male,black/african american/negro,"$25,000 to $29,999",Completed some high school,MO,40,0,1,0,0
Gary Johnson,Joe Biden,male,white,"$75,000 to $79,999","Completed some college, but no degree",WI,57,0,1,0,0
Donald Trump,Donald Trump,male,white,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",NY,40,1,0,0,0
